County,HighSchoolGrad,BachelorsDegree,UnemploymentRate,PercentUrban,PerCapitaIncome,PercentPoverty,CountyPopulation, PopulationDensityPerSqMile,Region,RaceWhite,RaceNotWhite
Washington,82.6,22,4.2,46.51,52265,13.8,35108,55.83,Central Texas,78.63,21.37
Webb,65.7,17.5,4.2,97.4,31635,25.7,275910,74.46,South Texas,97.6,2.4
Wharton,78,14.5,4.5,50.1,41473,16.8,41619,38.01,Upper Gulf Coast,83.65,16.35
Wheeler,80.3,14.1,4.1,0,41801,14,5191,5.92,Panhandle,92.14,7.86
Wichita,86,22.2,3.7,89.33,43170,17.8,132064,209.47,North Texas,82.47,17.53
Wilbarger,78,15.5,4.7,78.11,42041,15.3,12820,13.94,North Texas,85.28,14.72
Willacy,63.1,8.6,11,65.42,28593,35,21515,37.48,South Texas,95.32,4.68
Williamson,92.9,39.4,3.2,88.01,50776,6.4,566719,377.96,Central Texas,81.98,18.02
Wilson,84.9,19.3,3.5,14.14,44255,10.9,50224,53.4,South Texas,95.33,4.67
Winkler,68.1,10.3,5.2,81.87,57584,14.1,7720,8.45,West Texas,92.88,7.12
Wise,84.6,16.9,4,27.89,43752,9.9,68305,65.38,North Texas,94.87,5.13
Wood,85.1,17.1,4.7,25.8,38152,15.3,45129,65.04,East Texas,91.42,8.58
Yoakum,71.4,17.8,3.5,62.67,41112,12.1,8591,9.85,West Texas,95.05,4.95
Young,81.6,18.6,3.8,66.43,50231,13.9,18045,20.29,North Texas,95.17,4.83
Zapata,50.3,8.3,7.3,76.47,28294,32.1,14190,14.04,South Texas,98.55,1.45
Zavala,59.2,9.1,11.1,61.97,29202,32,11983,9,South Texas,96.74,3.26
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
